GEO (Labels);Licz_lud;Wsk_zan;L_zdr_ż;Wsk_śm;N_pal;Nied;W_nor;Nadw;akt_fiz
Belgium;11488980;0.422883494;62.4;9.469334963;80.6;3.2;48;48.8;42
Bulgaria;6975761;1.529166495;66.3;15.28507069;63.8;2.4;44.1;53.4;13.6
Czechia;10671870;0.727997998;62;10.55719382;73.6;1.6;40;58.4;35.6
Denmark;5814422;0.322302028;58.9;9.264549426;80;2.3;48.8;48.8;75.8
Germany;83092962;0.439192431;66.3;11.34041894;71.7;2.7;45.2;52.1;67.3
Estonia;1326898;0.070691191;55.8;11.48091262;75.2;2.5;42.4;55.1;43.5
Ireland;4934340;0.145206856;69.6;6.319791502;81.8;2;44;54;51.1
Greece;10721582;0.883852775;66;11.66021955;71.4;1.4;42.3;56.2;26
Spain;47134837;0.351135191;69.9;8.883090017;77.9;2.4;45.3;52.3;50
France;67388001;0.322649428;64.1;9.105493425;76;4.3;50.3;45.4;45.2
Croatia;4067206;0.895258317;57.4;12.90246916;74.3;1.7;34.5;63.8;26.8
Italy;59729081;0.712589233;68.3;10.73942524;77.6;3.9;51.4;44.7;26.7
Cyprus;881952;0.698677479;62.5;7.204473713;74.5;3.9;47.7;48.5;35.2
Latvia;1913822;0.596398202;53.1;14.38796293;73.2;2.6;40.7;56.7;37.9
Lithuania;2794137;0.77755672;57.5;13.53799044;76.3;2.3;42.7;55;31.1
Luxembourg;620001;0.174838428;62.6;6.645150572;81.8;3.7;49.2;47.1;66.8
Hungary;9771141;1.011335319;61.7;13.26385527;72.8;2.7;38.9;58.3;42.8
Malta;504062;0.45569791;73.2;7.399883348;74.9;1.9;34.2;63.9;26.1
Netherlands;17344874;0.379829799;61;8.706491612;78.9;2.9;48.9;48.3;53.5
Austria;8879920;0.428393499;57.3;9.344566167;73.8;2.6;46.3;51.1;62.2
Poland;37965475;1.191766994;62.5;10.81414101;77.4;2.7;40.6;56.7;25.8
Portugal;10286263;0.25713906;59.2;10.92077852;83;2;43.4;54.5;33.2
Romania;19371648;1.122909109;60.2;13.28364009;72.7;1;42.5;56.4;6.3
Slovenia;2088385;0.620623113;60.9;9.60694508;76.8;1.6;41.8;56.6;55.1
Slovakia;5454147;0.80826571;56.2;9.662922543;72.4;2.2;40;57.8;32.6
Finland;5521606;0.033722073;56.4;9.749699634;82.2;1.7;40.6;57.7;44
Sweden;10278887;0.051114484;73.3;8.595580436;87.4;2.4;48;49.6;75.3
Iceland;360563;0.145050934;63;6.148717422;86.3;1.4;38.5;60.1;71.2
Norway;5347896;0.230801048;69.8;7.502763704;81.9;2;48.4;49.6;84.2
